"metric","value"
"N observations","1223"
"Median nearest-neighbour distance (km)","8.3"
"Adaptive bandwidth (fraction of N)","0.0118"
"GWR AICc","4239.8"
"OLS AIC","5408.52"
"Global (OLS) PFAS coefficient","-0.616"
"GWR PFAS coef: min / median / max","-176.070 / 0.575 / 251.037"
"GWR PFAS coef IQR","7.17"
"Share of ZCTA with positive local PFAS coef","0.57"
